# CdSe diameter (nm)         nExc        ExcE (eV)        Reorg_E (meV)
5.6       0       1.898683      6.505957
5.6       1       1.898921      7.247788
5.6       2       1.898945      14.889529
5.6       3       1.921508      6.015102
5.6       4       1.921671      6.012570
5.6       5       1.944074      5.607761
5.6       6       1.944545      5.806098
5.6       7       1.944714      7.620315
5.6       8       1.946330      4.780961
5.6       9       1.952111      7.625205
6.4       0       1.856075      10.865975
6.4       1       1.859487      5.001318
6.4       2       1.859727      4.996945
6.4       3       1.877854      4.211007
6.4       4       1.878173      4.106776
6.4       5       1.896723      4.588627
6.4       6       1.899069      3.989545
6.4       7       1.899873      3.728423
6.4       8       1.901608      4.949424
6.4       9       1.903990      3.119625
