# GaAs diameter (nm)         nExc        ExcE (eV)        Reorg_E (meV)
2.0       0       2.609539      49.374094
2.0       1       2.609691      44.463866
2.0       2       2.609769      46.787095
2.0       3       2.643194      41.097648
2.0       4       2.643203      39.756323
2.0       5       2.643207      32.252239
2.0       6       2.703088      34.662837
2.0       7       2.703190      34.673625
2.0       8       2.747638      22.959860
2.0       9       2.747650      23.695273
2.0       10       2.747663      24.490057
2.0       11       2.748652      22.658802
2.0       12       2.748683      23.386058
2.0       13       2.748720      22.443704
2.0       14       2.749837      19.060191
2.0       15       2.752771      20.641557
2.0       16       2.752820      20.682441
2.0       17       2.759300      53.504167
2.0       18       2.759409      48.835583
2.0       19       2.759514      50.940260
2.0       20       2.799194      25.248993
2.0       21       2.799206      26.679089
2.0       22       2.799215      25.082781
2.0       23       2.801126      22.879195
2.0       24       2.805300      25.161543
2.0       25       2.805309      32.101666
2.0       26       2.805329      31.321911
2.0       27       2.807185      25.268001
2.0       28       2.807188      27.639877
2.0       29       2.807193      25.390512
2.0       30       2.807771      25.974823
2.0       31       2.807776      25.969500
2.0       32       2.813382      28.451684
2.0       33       2.813440      40.690637
2.0       34       2.813491      29.262905
2.0       35       2.817606      15.577492
2.0       36       2.817611      16.024143
2.0       37       2.817619      15.230314
2.0       38       2.822999      28.124025
2.0       39       2.823007      33.877719
2.0       40       2.823036      33.424290
2.0       41       2.837560      35.818639
2.0       42       2.837566      30.903845
2.0       43       2.837571      38.355745
2.0       44       2.849394      22.639240
2.0       45       2.849398      27.616577
2.0       46       2.849404      22.989909
2.0       47       2.855303      50.803500
2.0       48       2.855355      51.334243
2.0       49       2.855694      35.793945
2.8       0       2.188910      22.653999
2.8       1       2.188961      22.308913
2.8       2       2.188991      20.726523
2.8       3       2.208059      15.044184
2.8       4       2.208063      15.575430
2.8       5       2.208066      14.720281
2.8       6       2.227900      19.360560
2.8       7       2.227972      19.157298
2.8       8       2.228014      17.928089
2.8       9       2.254430      15.900678
2.8       10       2.254433      13.857720
2.8       11       2.254435      15.838545
2.8       12       2.277827      16.627824
2.8       13       2.277842      16.628042
2.8       14       2.283314      14.603616
2.8       15       2.283336      14.568201
2.8       16       2.283360      13.771517
2.8       17       2.309764      7.136515
2.8       18       2.309766      5.721496
2.8       19       2.309772      6.814614
2.8       20       2.309777      6.049037
2.8       21       2.309778      7.643931
2.8       22       2.311129      6.972426
2.8       23       2.311134      5.208363
2.8       24       2.311141      6.899549
2.8       25       2.313297      3.624878
2.8       26       2.315609      14.455456
2.8       27       2.315622      14.469387
2.8       28       2.319573      13.878395
2.8       29       2.319584      13.958931
2.8       30       2.319599      14.328255
2.8       31       2.321674      15.555249
2.8       32       2.321675      16.577462
2.8       33       2.321690      15.427420
2.8       34       2.329433      7.386439
2.8       35       2.329434      8.139302
2.8       36       2.329441      7.442661
2.8       37       2.329530      11.509840
2.8       38       2.329533      10.027138
2.8       39       2.329535      8.634164
2.8       40       2.341398      8.193644
2.8       41       2.341413      7.017588
2.8       42       2.341419      9.120721
2.8       43       2.345078      6.008162
2.8       44       2.346732      6.642195
2.8       45       2.346735      6.478292
2.8       46       2.346744      6.642074
2.8       47       2.350260      7.464724
2.8       48       2.350264      7.464432
2.8       49       2.354589      4.424875
2.8       50       2.354593      4.467993
2.8       51       2.354600      4.181691
2.8       52       2.367460      15.885251
2.8       53       2.367464      15.726038
2.8       54       2.367465      16.305722
2.8       55       2.371863      18.588766
2.8       56       2.371867      17.752804
2.8       57       2.371871      22.121358
2.8       58       2.372240      15.617518
2.8       59       2.372240      16.646143
2.8       60       2.372242      16.284784
2.8       61       2.377890      12.450465
2.8       62       2.377891      12.511147
2.8       63       2.378061      9.231704
2.8       64       2.378065      8.959084
2.8       65       2.378070      7.443098
2.8       66       2.380522      13.553272
2.8       67       2.391092      19.383183
2.8       68       2.391107      18.229898
2.8       69       2.391116      18.262504
2.8       70       2.406720      9.484257
2.8       71       2.406721      6.883395
2.8       72       2.406728      6.946898
2.8       73       2.406805      6.983239
2.8       74       2.406806      4.669558
2.8       75       2.406811      5.561771
2.8       76       2.412999      7.861160
2.8       77       2.413000      7.669358
2.8       78       2.413015      7.354399
2.8       79       2.413093      7.925840
2.8       80       2.413104      8.478336
2.8       81       2.413114      8.061711
2.8       82       2.414999      6.780724
2.8       83       2.415001      6.611511
2.8       84       2.415221      4.553363
2.8       85       2.423884      8.434790
2.8       86       2.426765      6.244899
2.8       87       2.426770      6.245707
2.8       88       2.429149      5.062902
2.8       89       2.430994      17.323158
2.8       90       2.434123      17.465928
2.8       91       2.434130      16.239660
2.8       92       2.434130      17.186465
2.8       93       2.435514      8.621708
2.8       94       2.435515      8.621555
2.8       95       2.436003      10.483922
2.8       96       2.436013      9.973355
2.8       97       2.436026      9.361183
2.8       98       2.438295      15.291940
2.8       99       2.438310      14.543867
3.7       0       2.013685      7.178833
3.7       1       2.013685      6.933052
3.7       2       2.013685      6.862171
3.7       3       2.034877      7.608324
3.7       4       2.034877      6.595990
3.7       5       2.034877      6.634620
3.7       6       2.036723      8.667704
3.7       7       2.036723      8.823238
3.7       8       2.036723      8.472717
3.7       9       2.052996      4.082592
3.7       10       2.055001      4.391320
3.7       11       2.055001      4.445456
3.7       12       2.055001      4.429916
3.7       13       2.057211      4.446577
3.7       14       2.057211      4.446577
3.7       15       2.057729      4.337571
3.7       16       2.057729      4.408044
3.7       17       2.057729      4.213049
3.7       18       2.062946      2.775717
3.7       19       2.062946      2.670454
3.7       20       2.062946      3.109866
3.7       21       2.063280      1.771439
3.7       22       2.063280      1.771438
3.7       23       2.066640      2.829699
3.7       24       2.066640      2.666214
3.7       25       2.066641      3.368896
3.7       26       2.068486      1.024740
3.7       27       2.069284      7.430991
3.7       28       2.069284      7.523730
3.7       29       2.069285      7.608465
3.7       30       2.071253      8.466888
3.7       31       2.071261      7.799475
3.7       32       2.071261      7.097803
3.7       33       2.081468      7.399993
3.7       34       2.081468      7.399993
3.7       35       2.092546      9.808530
3.7       36       2.092546      9.684969
3.7       37       2.092546      9.687856
3.7       38       2.096271      8.972821
3.7       39       2.096283      9.161598
3.7       40       2.096283      9.131756
3.7       41       2.096944      9.799592
3.7       42       2.096944      9.708864
3.7       43       2.096949      8.857850
3.7       44       2.100345      5.302694
3.7       45       2.100345      5.144281
3.7       46       2.100355      5.543228
3.7       47       2.101575      5.213072
3.7       48       2.101584      5.113479
3.7       49       2.101584      5.178183
3.7       50       2.101814      3.488516
3.7       51       2.101828      4.286849
3.7       52       2.101828      4.329179
3.7       53       2.106492      6.511905
3.7       54       2.106492      6.511906
3.7       55       2.108478      4.874056
3.7       56       2.110091      5.520142
3.7       57       2.110092      5.686636
3.7       58       2.110092      5.586134
3.7       59       2.112236      5.413347
3.7       60       2.112237      5.453017
3.7       61       2.112237      5.545193
3.7       62       2.112392      6.083586
3.7       63       2.112392      6.083585
3.7       64       2.113448      2.470230
3.7       65       2.113448      3.302446
3.7       66       2.113448      3.234791
3.7       67       2.113487      6.543676
3.7       68       2.113500      5.995417
3.7       69       2.113500      5.544322
3.7       70       2.113520      7.330306
3.7       71       2.113581      2.414363
3.7       72       2.113583      2.944637
3.7       73       2.113583      2.977821
3.7       74       2.123530      8.168060
3.7       75       2.123530      8.165739
3.7       76       2.123530      8.180820
3.7       77       2.137905      10.323727
3.7       78       2.143877      9.054674
3.7       79       2.143879      9.098091
3.7       80       2.143879      9.033404
3.7       81       2.148882      4.498054
3.7       82       2.149381      3.943448
3.7       83       2.149381      3.943310
3.7       84       2.149603      8.137566
3.7       85       2.149611      8.412455
3.7       86       2.149611      8.406129
3.7       87       2.150576      8.351014
3.7       88       2.150576      8.327567
3.7       89       2.150587      8.079515
3.7       90       2.150650      3.590778
3.7       91       2.153142      2.951761
3.7       92       2.153142      2.951750
3.7       93       2.153412      3.391896
3.7       94       2.153412      3.516069
3.7       95       2.153413      3.595483
3.7       96       2.154434      9.876713
3.7       97       2.154434      10.018935
3.7       98       2.154435      9.583770
3.7       99       2.156042      7.170700
3.7       100       2.156042      7.166637
3.7       101       2.156042      7.200538
3.7       102       2.156734      5.434001
3.7       103       2.156734      5.433990
3.7       104       2.156976      3.718453
3.7       105       2.156977      3.526783
3.7       106       2.156977      3.577956
3.7       107       2.157092      8.360422
3.7       108       2.157092      8.698429
3.7       109       2.157092      8.627239
3.7       110       2.160995      5.009595
3.7       111       2.161646      3.141736
3.7       112       2.162968      4.011247
3.7       113       2.162969      3.516952
3.7       114       2.162969      3.622882
3.7       115       2.163773      3.805214
3.7       116       2.163773      3.813566
3.7       117       2.163775      3.847418
3.7       118       2.164171      3.785137
3.7       119       2.164171      3.785133
3.7       120       2.165647      2.946071
3.7       121       2.165652      2.838068
3.7       122       2.165652      2.937838
3.7       123       2.166984      3.854995
3.7       124       2.166984      3.854995
3.7       125       2.167026      3.885260
3.7       126       2.167032      3.713247
3.7       127       2.167032      3.570654
3.7       128       2.167571      3.289596
3.7       129       2.167924      4.120906
3.7       130       2.167924      4.110899
3.7       131       2.167926      4.221952
3.7       132       2.168526      2.700635
3.7       133       2.168528      2.686295
3.7       134       2.168528      2.620445
3.7       135       2.168690      3.713698
3.7       136       2.168693      3.752229
3.7       137       2.168693      3.695864
3.7       138       2.169554      2.521700
3.7       139       2.171274      2.898591
3.7       140       2.171274      2.898591
3.7       141       2.172749      4.806190
3.7       142       2.172749      4.679006
3.7       143       2.172751      5.628473
3.7       144       2.173674      5.002400
3.7       145       2.173674      5.002398
3.7       146       2.174947      3.250995
3.7       147       2.174947      3.323349
3.7       148       2.174950      3.489487
3.7       149       2.174977      4.174473
3.7       150       2.174977      3.934298
3.7       151       2.174977      4.972007
3.7       152       2.176739      2.225349
3.7       153       2.177274      3.347467
3.7       154       2.177274      3.347469
3.7       155       2.179376      7.722137
3.7       156       2.179376      7.667591
3.7       157       2.179376      7.677433
3.7       158       2.194168      7.151876
3.7       159       2.194168      7.126152
3.7       160       2.194168      7.399937
3.7       161       2.195197      4.353946
3.7       162       2.195803      9.517916
3.7       163       2.195803      9.517915
3.7       164       2.196300      5.122861
3.7       165       2.196300      5.183504
3.7       166       2.196300      5.153929
3.7       167       2.197350      10.385090
3.7       168       2.197350      10.385087
3.7       169       2.197888      4.987153
3.7       170       2.197889      5.071724
3.7       171       2.197889      5.023568
3.7       172       2.197997      5.401414
3.7       173       2.197997      5.401414
