# InP diameter (nm)         nExc        ExcE (eV)        Reorg_E (meV)
1.8       0       2.794711      38.249885
1.8       1       2.794723      37.086233
1.8       2       2.794736      36.007982
1.8       3       2.834623      30.855511
1.8       4       2.834808      25.049515
1.8       5       2.835074      20.371962
1.8       6       2.888005      23.389095
1.8       7       2.888364      23.404918
1.8       8       2.967299      38.892693
1.8       9       2.967308      34.284783
2.3       0       2.546831      28.743703
2.3       1       2.546851      22.827288
2.3       2       2.546947      30.421675
2.3       3       2.552708      11.653327
2.3       4       2.552708      12.720847
2.3       5       2.552709      12.832866
2.3       6       2.659257      14.747297
2.3       7       2.659273      14.747920
2.3       8       2.668287      14.575615
2.3       9       2.668296      13.716908
2.3       10       2.668314      15.397476
2.3       11       2.741303      19.768191
2.3       12       2.741310      17.601894
2.3       13       2.741328      20.974123
2.3       14       2.771186      14.072634
2.3       15       2.783165      26.840349
2.3       16       2.783174      22.766764
2.3       17       2.783211      27.533188
2.3       18       2.821157      15.710853
2.3       19       2.821157      15.711427
2.3       20       2.857429      19.675018
2.3       21       2.857430      19.245166
2.3       22       2.857432      19.859623
2.3       23       2.888670      14.698116
2.3       24       2.888673      14.700130
2.3       25       2.895551      13.399578
2.3       26       2.895555      13.601563
2.3       27       2.895555      10.883808
2.3       28       2.895586      7.710523
2.3       29       2.895589      7.691047
2.3       30       2.899512      12.514422
2.3       31       2.899514      10.769944
2.3       32       2.899525      13.710886
2.3       33       2.904355      6.379275
2.3       34       2.927962      23.274919
2.3       35       2.927965      20.003099
2.3       36       2.927969      20.602082
2.3       37       2.930029      25.067975
2.3       38       2.930039      24.400395
2.3       39       2.930072      27.262185
2.3       40       2.936298      7.267128
2.3       41       2.938882      9.065338
2.3       42       2.938882      9.183554
2.3       43       2.938882      9.090661
2.3       44       2.943883      8.420194
2.3       45       2.943887      8.419898
2.3       46       2.945573      9.015735
2.3       47       2.945576      8.537164
2.3       48       2.945606      9.022798
2.3       49       2.954727      18.360986
2.3       50       2.954727      20.439386
2.3       51       2.954758      11.405814
2.3       52       2.954763      12.136793
2.3       53       2.954772      19.525178
2.3       54       2.954817      11.387921
2.3       55       2.962933      20.295305
2.3       56       2.962933      20.269582
2.3       57       2.965954      18.152992
2.3       58       2.965964      17.648909
2.3       59       2.965977      18.580404
2.9       0       2.340293      13.942331
2.9       1       2.340293      15.165437
2.9       2       2.340537      10.105946
2.9       3       2.340559      8.886425
2.9       4       2.340559      9.510757
2.9       5       2.340659      21.412004
2.9       6       2.414223      9.456942
2.9       7       2.414223      9.456945
2.9       8       2.435952      10.024394
2.9       9       2.435968      8.601019
2.9       10       2.435968      9.368259
2.9       11       2.491618      8.836174
2.9       12       2.508213      11.725226
2.9       13       2.508213      11.321325
2.9       14       2.508306      12.901558
2.9       15       2.525170      14.136371
2.9       16       2.525170      13.861669
2.9       17       2.525386      16.358736
2.9       18       2.540304      8.230807
